method,slice,n,accuracy,precision,recall,f1,false_positive_rate,false_negative_rate
contact_grammar,test_all,1170.0,1.0,1.0,1.0,1.0,0.0,0.0
contact_grammar,test_ood_valid,45.0,1.0,1.0,1.0,1.0,0.0,0.0
contact_grammar,test_invalid,827.0,1.0,0.0,0.0,0.0,0.0,0.0
contact_grammar,test_blocked_side,1016.0,1.0,1.0,1.0,1.0,0.0,0.0
unordered_contacts,test_all,1170.0,0.7564102564102564,0.5461783439490446,1.0,0.7064881565396499,0.34461910519951633,0.0
unordered_contacts,test_ood_valid,45.0,1.0,1.0,1.0,1.0,0.0,0.0
unordered_contacts,test_invalid,827.0,0.6553808948004837,0.0,0.0,0.0,0.34461910519951633,0.0
unordered_contacts,test_blocked_side,1016.0,0.7440944881889764,0.5194085027726433,1.0,0.6836982968369829,0.35374149659863946,0.0
static_affordance,test_all,1170.0,0.6897435897435897,0.48542274052478135,0.9708454810495627,0.6472303206997084,0.4268440145102781,0.029154518950437316
static_affordance,test_ood_valid,45.0,0.9555555555555556,1.0,0.9555555555555556,0.9772727272727273,0.0,0.044444444444444446
static_affordance,test_invalid,827.0,0.5731559854897219,0.0,0.0,0.0,0.4268440145102781,0.0
static_affordance,test_blocked_side,1016.0,0.6732283464566929,0.45714285714285713,0.9679715302491103,0.6210045662100456,0.43945578231292515,0.03202846975088968
flat_pair_memory,test_all,1170.0,0.7760683760683761,0.5786407766990291,0.8688046647230321,0.6946386946386947,0.2623941958887545,0.13119533527696792
flat_pair_memory,test_ood_valid,45.0,0.0,0.0,0.0,0.0,0.0,1.0
flat_pair_memory,test_invalid,827.0,0.7376058041112454,0.0,0.0,0.0,0.2623941958887545,0.0
flat_pair_memory,test_blocked_side,1016.0,0.7618110236220472,0.5432372505543237,0.8718861209964412,0.6693989071038251,0.2802721088435374,0.12811387900355872
mutated_no_side_gate,test_all,1170.0,0.9153846153846154,0.7760180995475113,1.0,0.8738853503184714,0.11970979443772672,0.0
mutated_no_side_gate,test_ood_valid,45.0,1.0,1.0,1.0,1.0,0.0,0.0
mutated_no_side_gate,test_invalid,827.0,0.8802902055622733,0.0,0.0,0.0,0.11970979443772672,0.0
mutated_no_side_gate,test_blocked_side,1016.0,0.9025590551181102,0.7394736842105263,1.0,0.8502269288956127,0.1346938775510204,0.0
mutated_no_brace_gate,test_all,1170.0,0.9948717948717949,0.9828080229226361,1.0,0.9913294797687862,0.007255139056831923,0.0
mutated_no_brace_gate,test_ood_valid,45.0,1.0,1.0,1.0,1.0,0.0,0.0
mutated_no_brace_gate,test_invalid,827.0,0.992744860943168,0.0,0.0,0.0,0.007255139056831923,0.0
mutated_no_brace_gate,test_blocked_side,1016.0,0.9940944881889764,0.9790940766550522,1.0,0.9894366197183099,0.00816326530612245,0.0
